freq,unit,isced11,geo\TIME_PERIOD	2004 	2005 	2006 	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 	2018 	2019 	2020 	2021 	2022 
A,PC,ED5-8,TR	: 	: 	: 	: 	: 	: 	: 	36.4 be	47.8 be	52.6 e	57.7 be	59.3 e	61.8 e	59.3 e	62.9 e	64.3 e	62.7 e	: 	: 
A,PC,ED5-8,UK	: 	: 	: 	: 	: 	: 	: 	60.9 be	61.1 e	63.6 e	64.0 be	64.6 e	65.0 e	66.5 e	65.4 e	67.6 e	: 	: 	: 
A,PC,NRP,BE	: 	: bu	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,PC,NRP,CH	: 	: 	: 	: 	: 	: 	: 	0.6 bu	: u	: u	: bu	: u	: u	: u	: u	: u	: u	0.4 bu	0.6 u
A,PC,NRP,CZ	: u	: 	: 	: 	: 	: 	: bu	: 	: 	: 	: 	: 	: 	: u	: u	: 	: 	: 	: 
A,PC,NRP,DE	4.7 e	: bu	: bu	: 	: u	: u	: bu	: bu	: bu	: u	: bu	: u	: u	: u	: u	: u	: bu	: bu	: u
A,PC,NRP,DK	: u	: bu	: u	2.0 bu	1.8 bu	2.6 u	2.3 u	2.0 bu	1.7 u	3.3 e	: bu	: u	2.1 bu	2.0 bu	: u	: u	: u	: bu	: u
A,PC,NRP,EE	: 	: 	: 	: 	: 	: 	: 	: bu	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,PC,NRP,EU27_2020	1.1 e	0.1 be	0.1 e	0.1 e	0.1 e	0.2 e	0.1 e	0.2 be	0.2 e	0.2 e	0.1 be	0.2 e	0.2 e	0.2 e	0.2 e	0.2 e	0.2 e	0.2 be	0.2 e
A,PC,NRP,FI	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: u	: 	: 	: 	: 	: 	: 
A,PC,NRP,FR	: 	: 	: 	: 	: 	: 	: 	: 	: 	0.1 bu	: bu	0.2 u	0.1 u	: u	: u	: u	: u	0.7 bdu	0.5 du
A,PC,NRP,HR	: 	: 	: 	: 	: 	: 	: 	: 	: u	: u	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,PC,NRP,IE	: u	: bu	3.1 u	3.1 bu	2.9 u	3.8 u	4.0 e	: bu	: u	2.3 u	3.3 be	3.0 u	3.0 e	2.1 bu	2.3 u	: u	: u	: bu	: u
A,PC,NRP,IS	: 	: 	: 	: 	: 	: 	: 	: bu	: u	: 	: 	: u	: 	: 	: 	: 	: 	: 	: 
A,PC,NRP,LU	: 	: 	: 	: 	: 	: bu	: u	: bu	: u	: u	: bu	: bu	8.9 e	21.7 e	: u	: u	: u	: bu	3.3 u
A,PC,NRP,LV	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: u	: 	: 	: 	: 	: u	: 	: 
A,PC,NRP,NL	0.8 u	: bu	: bu	: u	: u	: u	0.5 u	0.8 be	1.1 e	1.2 be	0.5 bu	0.5 u	0.7 e	0.5 u	0.6 e	1.2 be	1.0 e	0.7 be	0.6 e
A,PC,NRP,NO	: 	: 	: 	: 	: 	: 	: 	: 	: u	0.7 u	: 	: 	: 	: 	: 	: 	: u	: bu	: u
A,PC,NRP,SE	: u	: bu	: bu	: u	: u	: u	: u	: bu	: u	: u	: bu	0.5 u	: u	0.4 u	: bu	: u	: u	: bu	: u
A,PC,NRP,UK	: 	: 	: 	: 	: 	: 	: 	0.8 be	0.7 e	0.9 e	1.0 be	1.1 e	: u	: u	: u	: u	: 	: 	: 
A,THS_PER,ED0-4,AT	67.5 be	76.9 be	81.9 be	81.8 be	89.8 e	83.7 e	88.0 e	98.9 b	99.4 	101.5 	60.9 b	70.6 e	68.3 e	69.2 e	71.8 	66.5 	73.2 	70.5 b	72.4 
A,THS_PER,ED0-4,BE	43.1 e	48.8 be	54.9 e	67.1 e	68.3 be	66.4 e	68.5 e	55.1 be	58.2 	51.1 	47.4 be	44.8 	46.1 	51.9 b	56.5 	55.3 	53.5 	56.0 b	51.8 
A,THS_PER,ED0-4,BG	36.7 e	37.0 be	42.5 be	43.4 e	43.2 be	41.3 e	39.9 be	27.2 be	27.0 e	26.3 e	23.1 be	31.0 e	29.5 e	31.4 e	32.3 e	29.5 e	26.6 e	25.9 be	28.8 e
A,THS_PER,ED0-4,CH	: 	: 	: 	: 	: 	: 	: 	81.1 be	85.3 	83.5 	89.6 be	87.1 	88.2 	79.7 	80.2 	88.4 	86.4 	86.6 be	87.5 
A,THS_PER,ED0-4,CY	3.0 e	2.7 be	2.6 e	3.0 e	3.3 e	3.3 be	3.3 e	2.3 be	1.8 e	2.3 e	2.6 be	2.5 e	2.5 e	2.0 e	1.9 e	1.9 e	2.3 e	2.7 be	3.1 e
A,THS_PER,ED0-4,CZ	118.1 e	123.7 be	131.3 e	147.6 e	161.2 e	146.8 e	140.3 be	83.1 be	81.1 e	88.7 e	88.0 be	77.5 e	82.3 e	81.5 	96.7 e	100.6 e	95.2 e	100.6 be	103.0 e
A,THS_PER,ED0-4,DE	598.2 e	689.1 be	713.1 be	735.6 e	753.1 e	732.3 e	772.7 be	641.6 be	724.8 b	752.6 	752.8 b	759.5 	775.1 	774.5 	806.9 	821.4 	949.7 b	927.4 b	969.4 
A,THS_PER,ED0-4,DK	60.1 e	55.5 be	57.4 e	67.6 be	72.0 be	66.1 e	64.8 e	58.6 be	62.8 e	63.8 e	56.9 be	57.2 e	58.1 be	58.5 be	59.7 e	63.8 e	64.1 e	67.1 be	70.2 e
A,THS_PER,ED0-4,EE	10.2 e	7.4 be	7.9 e	10.7 e	11.2 e	11.4 e	11.0 e	9.2 b	10.1 	11.7 e	10.9 b	11.2 	14.1 e	14.7 e	14.6 e	16.5 	16.6 e	16.3 be	18.3 e
A,THS_PER,ED0-4,EL	58.9 be	58.2 be	56.8 e	56.6 e	56.2 e	56.4 be	53.6 e	24.3 be	22.7 e	22.0 e	18.2 be	19.5 e	23.4 e	23.4 e	23.5 e	22.3 e	25.1 e	25.7 be	28.5 e
A,THS_PER,ED0-4,ES	172.5 e	185.1 be	178.4 be	187.0 e	182.3 e	167.0 e	168.8 e	124.6 be	116.5 e	109.4 e	110.7 be	112.7 e	123.2 e	126.1 e	123.0 e	128.6 e	125.6 e	143.6 bde	148.6 de
A,THS_PER,ED0-4,EU27_2020	3040.2 e	3219.1 be	3328.1 e	3438.0 e	3513.2 e	3352.7 e	3315.4 e	2554.0 be	2656.9 e	2669.3 e	2616.7 be	2626.3 e	2721.9 e	2725.6 e	2844.6 e	2853.0 e	3034.2 e	3115.7 be	3243.2 e
A,THS_PER,ED0-4,FI	58.9 e	63.6 be	63.9 e	63.2 be	63.9 be	56.7 e	58.7 e	56.9 b	59.8 	56.5 	54.3 b	54.7 	57.0 	61.2 	62.4 e	59.9 	59.8 	67.8 b	75.5 e
A,THS_PER,ED0-4,FR	482.6 e	463.3 be	461.8 be	454.7 e	477.0 e	435.3 e	424.8 e	201.4 be	183.8 e	195.9 b	221.8 b	215.9 	221.6 	203.1 	210.9 	211.9 	233.3 	227.6 bde	220.1 d
