freq,nace_r2,geo\TIME_PERIOD	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 	2018 	2019 	2020 
A,ICT,LT	: c	2.45 	2.49 	2.49 	2.41 	2.56 	2.97 	2.99 	3.03 	3.13 b	3.49 	3.8 
A,ICT,LU	: c	: c	: c	: c	: c	: c	: c	: c	: c	: c	: c	: c
A,ICT,LV	3.36 	3.51 	3.4 	3.47 	3.75 	3.74 	4.15 	4.54 	4.69 	4.93 	5.33 	5.66 
A,ICT,MK	: 	: 	4.16 	4.12 	3.55 	3.26 	3.26 p	3.4 p	: c	: c	4.18 	: 
A,ICT,MT	5.92 	7.23 	8.89 	8.44 	6.55 	6.9 	6.86 	6.94 	7.77 	7.43 	: c	8.02 
A,ICT,NL	: c	: c	: c	: c	4.9 	: c	: c	: c	: c	: c	: c	: c
A,ICT,NO	3.43 	3.35 	3.13 	3.18 	3.16 	3.27 	3.38 	: c	3.4 	3.35 b	3.73 	4.04 
A,ICT,PL	3.07 	3.21 	3.3 	3.16 	3.06 	3.09 	3.15 	3.23 	3.35 	3.58 b	3.63 	3.77 
A,ICT,PT	: c	: c	: c	: c	: c	: c	: c	: c	: c	: c	: c	4.21 
A,ICT,RO	3.12 p	3.04 	2.93 	3.02 	3.15 	3.31 	3.35 	3.62 	3.56 	3.71 b	3.72 	4.25 
A,ICT,RS	: 	: 	: 	: 	: 	: 	: 	: c	4.42 p	4.51 	4.92 	: c
A,ICT,SE	6.14 	6.27 	: c	: c	: c	6.28 	: c	: c	: c	5.94 b	6.48 	7.09 
A,ICT,SI	: c	3.5 	3.47 	3.55 	3.56 	3.59 	3.6 	3.59 	3.67 	3.59 	3.71 	4.03 
A,ICT,SK	3.68 	4.59 	4.41 	4.68 	: c	4.16 	4.33 	4 	4.29 	4.11 	4.3 	4.66 
A,ICT,UK	: c	5.38 	: c	: c	: c	5.67 	5.81 	5.87 b	5.97 	6.15 	: 	: 
