freq,size_emp,nace_r2,indic_is,unit,geo\TIME_PERIOD	2015 	2016 	2017 	2018 	2019 	2020 	2021 	2022 	2023 
A,0_1,C10-S951_X_K,E_DI3_VLO,PC_ENT,SE	: 	: 	: 	: 	: 	: 	83.8 	: 	: 
A,0_1,C10-S951_X_K,E_DI4_HI,PC_ENT,PT	: 	: 	: 	: 	: 	: 	: 	: u	: 
A,0_1,C10-S951_X_K,E_DI4_HI,PC_ENT,SE	: 	: 	: 	: 	: 	: 	: 	0 	: 
A,0_1,C10-S951_X_K,E_DI4_LO,PC_ENT,PT	: 	: 	: 	: 	: 	: 	: 	: u	: 
A,0_1,C10-S951_X_K,E_DI4_LO,PC_ENT,SE	: 	: 	: 	: 	: 	: 	: 	9.9 	: 
A,0_1,C10-S951_X_K,E_DI4_VHI,PC_ENT,PT	: 	: 	: 	: 	: 	: 	: 	0 	: 
A,0_1,C10-S951_X_K,E_DI4_VLO,PC_ENT,PT	: 	: 	: 	: 	: 	: 	: 	: u	: 
A,0_1,C10-S951_X_K,E_DI4_VLO,PC_ENT,SE	: 	: 	: 	: 	: 	: 	: 	90.1 	: 
A,0_1,C10-S951_X_K,E_DI_HI,PC_ENT,SE	: 	: 	0 b	2.7 b	0 b	: 	: 	: 	: 
A,0_1,C10-S951_X_K,E_DI_HI,PC_ENT,SK	: 	: 	4.3 b	: 	: 	: 	: 	: 	: 
A,0_1,C10-S951_X_K,E_DI_LO,PC_ENT,SE	: 	: 	5.5 b	16.8 b	13.9 b	: 	: 	: 	: 
A,0_1,C10-S951_X_K,E_DI_LO,PC_ENT,SK	: 	: 	19.5 b	: 	: 	: 	: 	: 	: 
A,0_1,C10-S951_X_K,E_DI_VHI,PC_ENT,SE	: 	: 	0 b	: 	: 	: 	: 	: 	: 
A,0_1,C10-S951_X_K,E_DI_VHI,PC_ENT,SK	: 	: 	0 b	: 	: 	: 	: 	: 	: 
A,0_1,C10-S951_X_K,E_DI_VLO,PC_ENT,SE	: 	: 	94.5 b	80.5 b	86.1 b	: 	: 	: 	: 
A,0_1,C10-S951_X_K,E_DI_VLO,PC_ENT,SK	: 	: 	76.2 b	: 	: 	: 	: 	: 	: 
