freq,unit,age,geo\TIME_PERIOD	2004 	2005 	2006 	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 	2018 	2019 	2020 	2021 	2022 
A,PC,Y15-34,UK	: 	: 	: 	: 	: 	: 	: 	36.1 be	36.5 e	35.9 e	36.9 e	34.8 e	35.0 e	35.3 e	35.9 e	35.6 e	: 	: 	: 
A,PC,Y35-74,AT	51.6 be	50.8 be	52.0 e	52.7 be	51.5 e	53.3 e	53.9 e	56.6 b	56.6 	57.5 	57.4 	59.1 	59.4 	59.0 	61.5 	59.1 	59.7 	59.8 b	64.2 
A,PC,Y35-74,BE	53.4 e	55.8 be	57.3 e	59.6 e	57.3 e	59.2 e	61.5 e	63.3 be	63.5 	65.5 	64.2 	66.6 	64.9 	65.9 b	64.9 	64.0 	65.1 	66.7 b	68.1 
A,PC,Y35-74,BG	64.4 e	60.0 be	59.7 e	59.8 e	59.5 be	58.9 e	54.2 be	51.5 be	51.5 e	50.9 e	53.3 e	54.9 e	53.3 e	50.5 e	51.2 e	52.9 	58.5 	58.4 b	60.5 e
A,PC,Y35-74,CH	: 	: 	: 	: 	: 	: 	: 	62.7 b	62.4 	62.3 	60.5 	62.9 	62.5 	63.5 	62.9 	61.4 	60.8 	61.4 b	62.9 
A,PC,Y35-74,CY	50.9 e	48.4 be	47.4 e	46.0 e	51.1 e	54.3 be	57.1 e	57.9 be	51.2 e	54.8 e	57.6 e	54.5 e	56.0 e	55.1 	59.7 	59.8 	60.8 	55.0 b	52.4 
A,PC,Y35-74,CZ	51.9 e	53.1 be	50.8 e	54.0 e	52.1 e	53.2 e	52.7 be	54.2 b	54.6 	56.8 	61.6 	61.1 	58.8 	60.3 	63.4 	63.1 	65.2 	66.9 b	66.3 
A,PC,Y35-74,DE	62.8 e	64.0 be	64.8 be	64.0 e	63.4 e	63.2 e	62.6 be	63.4 be	63.8 b	63.6 	64.1 	63.8 	64.1 	64.1 	63.6 	63.3 	61.3 b	62.6 b	61.4 
A,PC,Y35-74,DK	70.8 e	64.7 be	67.5 e	68.0 e	67.4 be	67.0 e	70.8 e	72.9 be	73.4 e	71.7 e	72.9 e	72.4 e	71.2 be	70.1 be	67.7 e	67.0 e	68.3 e	64.6 b	62.6 
A,PC,Y35-74,EE	71.6 e	60.4 be	51.0 e	49.9 e	56.1 e	58.0 e	52.3 e	46.9 b	51.3 	46.0 	46.6 	49.7 e	52.8 e	48.9 	45.9 	49.2 	53.4 e	52.6 b	46.6 
A,PC,Y35-74,EL	51.5 be	52.5 be	53.4 e	52.6 e	54.1 e	52.9 be	53.8 e	60.6 be	62.9 e	62.3 e	60.6 e	63.2 e	64.7 e	66.8 e	68.1 e	70.4 e	69.1 e	69.7 b	65.8 
A,PC,Y35-74,ES	47.3 e	46.9 be	45.5 be	46.3 e	48.1 e	51.6 e	54.1 e	54.6 be	58.6 e	61.3 e	61.9 e	65.5 e	67.7 e	67.6 e	66.8 e	67.4 e	67.8 e	67.3 bd	65.3 d
A,PC,Y35-74,EU27_2020	56.7 e	56.4 be	56.4 e	56.9 e	57.2 e	57.9 e	59.1 e	60.1 be	61.8 e	62.3 e	63.0 e	63.7 e	64.2 e	64.1 e	64.3 e	63.6 e	63.7 e	63.9 be	63.3 e
A,PC,Y35-74,FI	54.4 e	55.2 be	56.5 e	55.4 be	56.3 be	60.0 e	61.7 e	61.5 b	63.8 	65.4 	68.8 	70.2 	71.0 	69.4 	69.0 	67.1 	71.0 	67.6 b	66.9 
A,PC,Y35-74,FR	56.5 e	53.8 be	53.9 be	56.8 e	57.0 e	57.2 e	57.3 e	61.0 be	64.2 e	62.6 b	62.8 b	61.2 	63.8 	63.2 	63.5 	60.4 	63.7 	63.1 bd	63.8 de
A,PC,Y35-74,HR	59.8 u	62.7 bu	64.3 bu	50.9 e	43.2 e	42.7 e	50.4 e	59.2 be	55.0 e	53.2 e	49.5 e	55.9 e	59.5 e	55.9 e	52.5 e	58.2 e	48.8 e	50.8 be	56.0 e
A,PC,Y35-74,HU	53.8 e	52.9 be	49.5 e	51.0 e	51.2 e	55.9 e	58.2 e	51.1 b	54.3 	55.6 	59.2 	65.1 	63.9 	64.5 	68.3 	63.4 	62.0 e	65.5 be	64.5 e
A,PC,Y35-74,IE	45.9 e	46.6 be	47.2 e	47.2 be	49.9 e	52.8 e	55.3 e	62.4 be	63.4 e	65.3 e	63.7 e	65.2 e	64.9 e	65.8 be	65.0 e	64.5 e	64.6 e	63.6 be	64.4 e
A,PC,Y35-74,IS	: 	: 	: 	: 	: 	: 	: 	65.0 be	68.7 e	68.0 e	65.4 e	63.2 e	59.6 e	59.5 e	66.3 e	69.8 e	65.6 be	63.6 be	58.1 e
